S#,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information,degree_title
939,Kashif Murtaza,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,PhD,Lahore University of Management Sciences,pakistan,,"Computer Vision, Pattern Recognition and Machine Learning, Multiple View Geometry, Convex Optimization",,PhD
940,Saadia Shahzad,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,PhD,Punjab University College of Information Technology,pakistan,,"Data Structures and Algorithms, Computer Vision, High Performance Computing",,PhD
942,Sidra Aslam,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,PhD,,,,"Theory of Automata, Enterprise Software Development (.Net), and Network Security",,PhD
943,Umair Babar,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,PhD,Punjab University College of Information Technology,pakistan,,"Object Oriented System Design and Implementation, Data Structures and Algorithms, Theory of Automata",,PhD
944,Umer Nawaz,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,PhD,,,,"Network Programming, Mobile Computing",,PhD
945,Zobia Suhail,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,PhD,,,,"Machine Learning, Image Processing, Data Structures",,PhD
946,Kashif Zahoor,FAST(Lahore),Computer Science,Punjab,Professor,PhD,FAST� National University of Computer and Emerging Sciences,pakistan,2010.0,Artificial Intelligence,,PhD
947,Asif Mahmood Gilani,FAST(Lahore),Computer Science,Punjab,Professor,PhD,University of Patras,greece,2002.0,�Imaging especially in the Data Security Issues,,PhD
948,Ghalib Asadullah Shah,FAST(Lahore),Computer Science,Punjab,Adjunct Professor,PhD,Middle East Technical University,turkey,2007.0,,,PhD
949,Mehreen Saeed,FAST(Lahore),Computer Science,Punjab,Associate Professor,PhD,University of Bristol,uk,1999.0,"AI, Computer Vision and Machine Learning.",,PhD
950,Ali Afzal Malik,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,University of Southern California,usa,2010.0,empirical software engineering and software cost estimation.,,PhD
951,Haroon Mahmood,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,Politecnico di Torino,italy,2014.0,embedded system design with particular emphasis on the design and modeling of reliable and power-efficient solutions.,,PhD
952,Irfan Younus,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,KTH Royal Institute of Technology,sweden,2014.0,"Evolutionary Algorithms, Bioinformatics, Combinatorial Optimization, Search Heuristics, Multi-objective Optimization, Many-Objective Algorithms, and Machine Learning.�",,PhD
953,Maryam Bashir,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,"Northeastern University,Boston",usa,2014.0,"�Information Retrieval, Machine Leaning, Bioinformatics and Data Sciences.",,PhD
954,Mubasher Baig,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,Lahore University of Management Sciences,pakistan,2016.0,Ensemble Learning (AdaBoost) and its applications.,,PhD
955,Muhammad Saqib Ilyas,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,Lahore University of Management Sciences,pakistan,2016.0,"Computer Networks,
 Distributed Systems
 Cloud Computing",,PhD
956,Muhammad Usman Sadiq,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,Purdue University,usa,2016.0,"�iterative methods to solve inverse problems, neuroimaging techniques including MRI and fMRI, and brain morphometry and topology.",,PhD
957,Saira Karim,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,FAST� National University of Computer and Emerging Sciences,pakistan,2013.0,,,PhD
958,Taimur Bakhshi,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,University of Plymouth,uk,2016.0,"�software defined networking, network measurements, Internet traffic classification, and systems security.",,PhD
959,Usman Awais,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,Vienna University of Technology,austria,2015.0,"Computer Vision, Parallel and Distributed Algorithms, Internet of Things and Information retrieval.",,PhD
960,Zareen Alamgir,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,FAST� National University of Computer and Emerging Sciences,pakistan,2014.0,"Big Data, Recommendation Systems, Data Mining, Distributed Computing and Combinatorial Algorithms.�",,PhD
961,Zeeshan Ali Rana,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,Lahore University of Management Sciences,pakistan,2016.0,"Software Engineering
 Software Quality
 Software Defects
 Software Predictions
 Autonomic Computing",,PhD
984,Adnan Noor Milan,Information Technology University,Computer Science,Punjab,Associate Professor/Chairperson,PhD,Sapienza University of Rome,italy,,"Internet of Things (IoT), Wireless Sensor and Ad Hoc Networks, Opportunistic Networks, Mobile and Distributed Systems, Network Virtualization and Cloud Computing, Distributed Algorithms, AI techniques applied to Networks, Exploiting On Board Diagnostics (OBD-II) in Electronic Fuel Injection (EFI) Vehicles",,PhD
985,Faisal Kamiran,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,Eindhoven University of Technology (TU/e),netherland,2011.0,"Data Science, Machine Learning, Data Mining, Text Mining, Descriptive and Predictive Analytics, Social Media Analytics, Sentiment Analysis, Recommender Systems, Constrain Based Learning, Big Data",,PhD
986,Saeed UL Hassan,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,United Nations University International Institute for Software Technology (UNU-IIST),macau,,"Data Science, Scientific Research Informatics, Scientometrics, Alt-metrics, Information Retrieval, Data Mining, Social Media Analytics, Information Visualisation, Educational Data Mining.",,PhD
987,Khurram Bhatti,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,KTH Royal Institute of Technology,sweden,2014.0,"Embedded Systems, Real-time and Mixed Criticality Systems, Parallel Computing Systems, Runtime Resource Management, Context-aware Computing, and Multicore/Manycore Scheduling.",,PhD
988,Suleman Mazhar,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,"Georgetown University,DC",usa,2010.0,"Artificial Intelligence & Machine Learning, Experimental & Computational Neuroscience, Signal & Image Processing (Audio/Video Processing, Sonar/Bio-Acoustics), Wireless Sensor Networks (Environmental & Oceanographic applications)",,PhD
989,Falak Sher,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,RWTH Aachen University,germany,2015.0,"Analysis of reactive, stochastic, real-time, and hybrid systems. Reduction techniques for probabilistic systems using game theory. Formal software verification, in particular model checking. Formal modeling and analysis of distributed computing. Game theory, Petrinets, process algebra, concurrency theory, mathematical logic and automata theory.",,PhD
990,Yasira Waqar,Information Technology University,Computer Science,Punjab,,PhD,Columbia University,usa,2012.0,"Educational Technology Integration at Different Levels, Use of Different Technologies to Improve Student Learning",,PhD
991,Tahira Naseem,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,Massachusetts Institute of Technology,usa,2014.0,"Natural Language Processing, Probabilistic Graphical Models, Linguistics",,PhD
992,Mudassir Shabbir,Information Technology University,Computer Science,Punjab,,PhD,"Rutgers State University of New Jersey, NJ",usa,,"Algorithmic and Discrete Geometry, Combinatorics, Extremal Graph Theory",,PhD
993,Mohsen Ali,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,University of Florida,usa,,"solving theoretical and practical problems entailing Computer Vision and Machine Learning, specifically on the problems related to image co-segmentation, remote sensing, medical imaging and affective computing. Our group works extensively in Deep Learning, not only exploring innovative application of deep learning on existing problems but specially extending its theoretical understanding.",,PhD
994,Maryam Mustafa,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,Technical University of Braunschweig,germany,2015.0,investigating multidisciplinary approaches to HCI and computer graphics issues particularly the perception of highly realistic cg humans,,PhD
995,Agha Ali Raza,Information Technology University,Computer Science,Punjab,Assistant Professor,PhD,"Carnegie Mellon University, Pittsburgh",usa,,"Speech and Language Technologies, Designing interfaces for the low-literate, Telephone-based Speech Interfaces for Access to Information by Non-literate Users, Speech Recognition.",,PhD
996,Asim Karim,Lahore University of Management Sciences,Computer Science,Punjab,Professor,PhD,The Ohio State University,usa,2002.0,"data mining, machine learning, and applied artificial intelligence",,PhD
997,Basit Shafiq,Lahore University of Management Sciences,Computer Science,Punjab,Associate Professor,PhD,Purdue University,usa,2006.0,"Information systems security, secure distributed and networking systems, databases, multimedia information systems, semantic Web, Web services, ontology, and software testing.",,PhD
998,Hamid Abdul Basit,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,National University of Singapore,singapore,2007.0,analysis and semi-automated detection of similarity patterns in software,,PhD
999,Humaira Kamal,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,University of British Columbia,canada,2013.0,"developing systems and techniques that improve the performance, scalability and programmability of parallel computing systems",,PhD
1000,Ihsan Ayyub Qazi,Lahore University of Management Sciences,Computer Science,Punjab,Associate Professor,PhD,University of Pittsburgh,usa,2010.0,"computer networks and distributed systems and span cloud computing and datacenters, wireless networks, Internet censorship, and ICT for developing regions (including smart grids).",,PhD
1001,ImdadUllah Khan,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,The State University of New Jersey,usa,,,,PhD
1002,Junaid Haroon Siddiqui,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,The University of Texas at Austin,usa,2012.0,program analysis using static and dynamic techniques in automatic software test generation and parallel and incremental techniques in scaling algorithms for multicore processors and the intersection of these domains,,PhD
1003,Mian Muhammad Awais,Lahore University of Management Sciences,Computer Science,Punjab,Professor,PhD,"Imperial College, University of London",uk,,development of on-line models for parametric estimation of solid fuel-fired industrial boilers,,PhD
1006,Murtaza Taj,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,Queen Mary University of London,uk,2009.0,object detection and tracking using multimodal sensors,,PhD
1007,Naveed Arshad,Lahore University of Management Sciences,Computer Science,Punjab,Associate Professor/Chair,PhD,University of Colorado�,usa,,"short, medium and long term forecasting of energy demand, renewable energy generation forecasting for wind and solar resources, demand side management in agricultural, residential and industrial sectors, energy efficiency, and renewable energy integration in existing building stock",,PhD
1008,Shafay Shamail,Lahore University of Management Sciences,Computer Science,Punjab,Associate Professor,PhD,University of Bath,uk,,,,PhD
1009,Suleman Shahid,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,Tilburg University,netherland,2011.0,"assistive technologies�(mobile apps and VR/AR systems) to enhance the quality of life�of persons with disabilities (e.g. autism, dyslexia, visual impairment) and older adults, educational technologies for children (child-computer interaction),�and affective computing",,PhD
1010,Yasir Mehmood,Lahore University of Management Sciences,Computer Science,Punjab,Assistant Professor,PhD,Pompeu Fabra University Barcelona,spain,2016.0,"social network analysis, mining social influence, machine learning",,PhD
1017,Nasir Naveed�,Virtual University,Computer Science,Punjab,Head of Department,PhD,,,,"Data Science, Big Data Analytics, Data Mining, Machine Learning, Information Retrieval",,PhD
1020,Muhammad Anwaar Saeed�,Virtual University,Computer Science,Punjab,Assistant Professor,PhD,National College of Business Administration and Economics,pakistan,,AI based Encryption Techniques and Quantum Computing,,PhD
1086,Dr Ghulam Mustafa,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,University of Engineering and Technology,pakistan,2016.0,,,PhD
1093,Dr Adnan Shahzada,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,Politecnico di Milano,italy,,,,PhD
1094,Amjad Ali,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,University of Engineering and Technology,pakistan,,,,PhD
1098,Fasiha Ashraf,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,University of Engineering and Technology,pakistan,,,,PhD
1099,Dr Sajid Mahmood,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,University of Engineering and Technology,pakistan,,,,PhD
1101,Dr Yaser Daanial Khan,University of Management and Technology,Computer Science,Punjab,Associate Professor,PhD,"Abdul Wali Khan University, Mardan",pakistan,,,,PhD
1102,Dr Muhammad Shoaib Farooq,University of Management and Technology,Computer Science,Punjab,Associate Professor,PhD,"Abdul Wali Khan University, Mardan",pakistan,,,,PhD
1103,Dr Adnan Abid,University of Management and Technology,Computer Science,Punjab,Associate Professor,PhD,Politecnico di Milano,italy,,,,PhD
1108,Dr. Muhammad Adeel Talib,Minhaj University Lahore,CS & IT,Punjab,Assistant Professor,PhD,,,,,,PhD
1122,Khaver Zia,Beaconhouse National University,School of Information and Technology,Punjab,Professor/Dean,PhD,University of Manchester,uk,,Computer Control,,PhD
1133,Prof. Dr. Mohammad Ali Maud,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Professor,PhD,,,,"Spectral Estimation,Control Theory,Biomedical Signal Processing,Speech Processing,System Identification
",,PhD
1134,Prof. Dr. Muhammad Shahbaz,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Professor,PhD,,,,"Knowledge Discovery in Databases (Data Mining), Data Modelling, Artificial Intelligence, Machine Learning, Health Informatics, Text Mining,",,PhD
1135,Dr. Khadim Hussain Asif,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Professor,PhD,,,,,,PhD
1136,Prof. Dr. Muhammad Shoaib,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Professor,PhD,,,,,,PhD
1137,Dr. Shazia Arshad,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Professor,PhD,,,,,,PhD
1138,Dr. Syed Muhammad Ahsan,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,PhD,,,,,,PhD
1139,Dr. Irfan Ullah Ch.,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,PhD,,,,,,PhD
1140,Dr. Amjad Farooq,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,PhD,,,,,,PhD
1141,Dr. Muhammad Afzal,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,PhD,,,,"Natural Language Processing,Algorithm Analysis and Design,Speech Processing,Image Processing,Computer Programming
",,PhD
1142,Dr. Tauqir Ahmad,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,PhD,,,,,,PhD
1143,Dr. Muhammad Junaid Arshad,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,PhD,,,,"Heterogeneous Networks and Services,Network Simulation and Modeling,Network Protocols and Security,Multi-homed Networks focusing on Performance,Wireless & Mobile Communication,Telecommunication Networks
",,PhD
1144,Dr. Muhammad Aslam,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,PhD,,,,"Artificial Intelligence,Intelligent agents,Multiagent agents,Computer Supported Cooperative Work,E-learning,E-health,Natural Language Processing (NLP),Speech Processing,    Distributed Systems,Cloud Computing,Human Computer Interaction (HCI),Speech Processing,Image processing
",,PhD
1145,Dr. Muhammad Faisal Hayat,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,PhD,,,,Modelling & Analysis of Computer Networks,,PhD
1146,Dr. Yasir Saleem,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,PhD,,,,,,PhD
1147,Dr. Hafiz Muhammad Shahzad Asif,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,PhD,,,,Machine Learning applications in Big data,,PhD
1148,Dr. Muhammad Usman Ghani Khan,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,PhD,,,,"Natural Language Processing, Computer Vision,Image Processing, Computer Graphics, Augmented Reality, Audio, Speech Processing, Recognition and Perception,Cloud Computing - Software Design and Security Perspectivs,Machine learning for Bioinformatics Data
",,PhD
1149,Sh. Faisal Rashid,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,PhD,,,,,,PhD
1150,Mr. Talha Waheed,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,PhD,,,,"Knowledge Based Systems,eHealth & eLearning
",,PhD
1151,Dr. Ali Hammad Akbar,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,PhD,,,,"Emergency Management IT Framework,Urban Transportation and IT,Technology-driven Urban Sprawl Management,Commercial Applications of Wireless Networks,    Simulations for Enmasse Vocational Training
",,PhD
1152,Dr. Syed Khaldoon Khurshid,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,PhD,,,,"Information Retrieval Systems,Human Computer Interaction,Computer Literacy in common people
",,PhD
1154,Dr. Muhammad Awais Hassan,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,PhD,,,,,,PhD
1156,Dr. Tania Habib,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,PhD,,,,"Digital Signal Processing,Array Signal Processing,Speech Communication,Statistical Signal Processing
",,PhD
1162,Muhammad Altaf Mukati,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Vice President/Dean,PhD,Hamdard University,pakistan,,,,PhD
1163,Imran Amin,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Associate Professor/HoD,PhD,Loughborough University,uk,,"Embedded Systems, Artificial Intelligence and Image Processing",,PhD
1165,Husnain Mansoor Ali,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Associate Professor,PhD,University Paris,france,,Networking,,PhD
1177,Muhammad Saleem Vighio,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Associate Professor,PhD,,denmark,,,,PhD
1178,�Zahid Hussain Abro,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Professor,PhD,,austria,,,,PhD
1179,Muhammad Ibrahim Channa,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Professor/Chairman,PhD,Asian Institute of Technology,thailand,,,,PhD
1180,Akhtar Hussain Jalbani,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Associate Professor,PhD,,thailand,,,,PhD
1181,Nazar Hussain Phulpoto,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Associate Professor,PhD,,china,,,,PhD
1182,Rafia Naz Memon,"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
",Computer Science,Sindh,Assistant Professor,PhD,,malaysia,,,,PhD
1192,Mukhtiar Ali Unar,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Professor,PhD,,,,,,PhD
1193,Sheeraz Memon,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Associate Professor,PhD,,,,,,PhD
1194,Tariq Jamil Saifullah Khanzada,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Professor,PhD,,,,,,PhD
1195,Javed Ali Baloch,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Associate Professor,PhD,,,,,,PhD
1196,Shahnawaz Talpur,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Associate Professor,PhD,,,,,,PhD
1201,Adnan Ashraf Arain,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Associate Professor,PhD,,,,,,PhD
1202,Noor-u-Zaman Laghari,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Associate Professor,PhD,,,,,,PhD
1204,Sammer Zai,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Lecturer,PhD,,,,,,PhD
1205,Ahsan Ansari,"MEHRAN University of Engineering and Technology,Jamshoro",Department of Computer Systems & Software Engineering,Sindh,Lecturer,PhD,,,,,,PhD
1208,Noor Ahmed Shaikh,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,,PhD,,pakistan,,,,PhD
1209,Mumtaz Hussain Mahar,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,Dean,PhD,,uk,,,,PhD
1210,Javed Ahmed Mahar,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,Associate Professor/Chairman,PhD,,pakistan,,,,PhD
1217,�Rafaqat Hussain Arain,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,Assistant Professor,PhD,,china,,,,PhD
1218,Riaz Ahmed Shaikh,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,Assistant Professor,PhD,,china,,,,PhD
1219,Samina Rajper,"Shah Abdul Latif University, Khairpur",Computer Science,Sindh,Assistant Professor,PhD,"Shah Abdul Latif University, Khairpur",pakistan,,,,PhD
1231,MUHAMMAD SALEEM CHANDIO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor/Director & Registrar,PhD,Swansea,uk,2002.0,,,PhD
1232,RIAZ AHMED MEMON,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,PhD,University of Shanghai for Science and Technology,china,1993.0,Mathematics,,PhD
1233,ABDUL SATTAR SOOMRO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,PhD,"Griffith University,Nathan Campus",australia,2005.0,,,PhD
1234,ABDUL GHAFOOR MEMON,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,PhD,,canada,,"Distributed Applications,Systems Management,Policy-Based Management,QoS Management,Autonomic Computing,Cloud Computing,Big Data Virtualization,Resource Management,Context-Aware Applications,Web developer with System analysis and Web site Design and application integration.",,PhD
1235,SHAIKH ABDUL WASIM,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,PhD,,china,2006.0,,,PhD
1236,AYAZ KEERIO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,PhD,University of Sussex,uk,2011.0,"Digital Signal Processing,Speech Recognition and Synthesis systems,Computer Networks.",,PhD
1238,BALOCH MUJEEB-U-REHMAN MAREE,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,PhD,,china,2006.0,,,PhD
1242,ZAIN-UL-ABDIN KHUHRO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Professor,PhD,University of Essex,uk,2011.0,"Bioinformatics,Structural biology,Graph theory,Operations Research",,PhD
1244,FARHAT NAUREEN MEMON,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,University of Essex,uk,2012.0,,,PhD
1245,HYDER ALI NIZAMANI,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,University of Leicester,uk,2012.0,,,PhD
1246,QURAT UL AIN NIZAMANI,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,University of Leicester,uk,2012.0,,,PhD
1247,NOOR JEHAN RAJPER,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Assistant Professor,PhD,University of Leicester,uk,2012.0,,,PhD
1248,IMTIAZ ALI KOREJO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,University of Leicester,uk,2012.0,,,PhD
1249,YASIR ARFAT MALKANI,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,University of Sussex,uk,2011.0,"Pervasive Computing,secure device/service discovery, activity recognition and access control mechanisms using proximity/sensors' data, policy-based systems, context-awareness and adaptation mechanisms,sensor networks, wireless networks (including WiFi, Bluetooth, WiMAX, etc), and solutions to various issues in distributed and pervasive computing systems through the integration of tools and techniques from distinct disciplines/areas. �",,PhD
1250,AFTAB AHMED CHANDIO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Assistant Professor,PhD,Chinese Academy of Sciences,china,2016.0,"resource management, job scheduling strategies, energy efficiency, and workload characterization for performance optimization of parallel and distributed systems such as cloud computing, and location-based services i.e., map-matching strategy for GPS trajectories",,PhD
1251,FIDA HUSSAIN CHANDIO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Associate Professor,PhD,"International Islamic University,Islamabad",malaysia,2015.0,computing and information systems domain.,,PhD
1258,ZUBAIR AHMED KALHORO,University of Sindh,Institute of Mathematics & Computer Science,Sindh,Lecturer,PhD,Xiamen university,china,2016.0,"Numerical linear algebra,Matrix Computation,Numerical Analysis",,PhD
1260,Hasina Khatoon,FAST(Karachi),Computer Science,Sindh,Professor,PhD,NED University of Engineering And Technology,pakistan,,�High Performance Computing with special emphasis on new and emerging architectures including multicore processors,,PhD
1261,Jawad Ahmed Shamsi,FAST(Karachi),Computer Science,Sindh,Professor,PhD,Wayne State University,usa,2009.0,,,PhD
1262,Muhammad Atif Tahir,FAST(Karachi),Computer Science,Sindh,Professor,PhD,The Queens University of Belfast,uk,2006.0,"Machine Learning & Combinatorial Optimization Techniques with applications in image / video retrieval, cancer classification, surface inspection, bioinformatics, multi-label classification, and face recognition",,PhD
1263,Zulfiqar Ali Memon,FAST(Karachi),Computer Science,Sindh,Associate Professor,PhD,"Vrije University, Amsterdam",netherland,2010.0,,,PhD
1264,Fahad Samad,FAST(Karachi),Computer Science,Sindh,Assistant Professor,PhD,RWTH Aachen University,germany,2011.0,,,PhD
1265,Farooque Hassan Kumbhar,FAST(Karachi),Computer Science,Sindh,Assistant Professor,PhD,Sungkyunkwan University,south korea,2017.0,"Network Security and Data Security, Name Data Network or Content Centric Network, Security and Privacy isssues in MANET or Ad hoc computing, Internet of Things, Machine-to-Machine and Device-to-Device Communications, Wireless Communications (4G, 5G, etc. ), Optimization",,PhD
1266,Jalaluddin Qureshi,FAST(Karachi),Computer Science,Sindh,Assistant Professor,PhD,Nanyang Tech University,singapore,2014.0,"Error Correction Coding, Optimization Wireless Routing, Mathematical analysis of transmission networks, Evolutionary computation, Applied Machine Learning",,PhD
1267,Sufian Hameed,FAST(Karachi),Computer Science,Sindh,Assistant Professor,PhD,RWTH Aachen University,germany,2012.0,,,PhD
1268,Syed Tahir Qasim,FAST(Karachi),Computer Science,Sindh,Assistant Professor,PhD,Universite d'Evry Val d'Essonne,france,2011.0,,,PhD
1300,S.M. Aqil Burney,University of Karachi,Computer Science,Sindh,Professor,PhD,,uk,,"Artificial Intelligence, Software Engineering, Optimization",,PhD
1301,Dr. M. Sadiq Ali Khan,University of Karachi,Computer Science,Sindh,Associate Professor,PhD,,uk,,,,PhD
1302,Dr. Nadeem Mahmood,University of Karachi,Computer Science,Sindh,Associate Professor,PhD,"International Islamic University,Islamabad",malaysia,,"Temporal and Spatial Database Systems, Artificial Intelligence, Health Information Systems, Software Engineering�",,PhD
1305,Dr. Tahseen Ahmed Jilani,University of Karachi,Computer Science,Sindh,Assistant Professor,PhD,University of Karachi,pakistan,,"Soft Computing, Data Mining, Fuzzy Set Theory�",,PhD
1306,Dr. Muhammad Saeed,University of Karachi,Computer Science,Sindh,Assistant Professor,PhD,University of Karachi,pakistan,,"Operating Systems, Networking, Parallel Computing�",,PhD
1311,Dr. Humera Tariq,University of Karachi,Computer Science,Sindh,Assistant Professor,PhD,University of Karachi,pakistan,,"Computer Graphics, Image Processing, Discrete Mathematics�",,PhD
1312,Dr. Zain Abbas (F.S.L.),University of Karachi,Computer Science,Sindh,Assistant Professor,PhD,University of Karachi,pakistan,,,,PhD
1319,Najmi Ghani Haider.,"NED,UET",Computer Science,Sindh,Professor/Chairman,PhD,Brunel University,uk,,"Machine Learning, Robust Speech Recognition, Image Processing.",,PhD
1320,Sohail Abdul Sattar.,"NED,UET",Computer Science,Sindh,Professor/Co-Chairman,PhD,NED University of Engineering And Technology,pakistan,,"Computer Vision, Image Processing and Computational Linguistics.",,PhD
1321,Sh. Muhammad Wahabuddin Usmani.,"NED,UET",Computer Science,Sindh,Associate Professor,PhD,NED University of Engineering And Technology,pakistan,,Software Development Methodologies.,,PhD
